Pfolio Code ,Security ,Total Value (Pfolio)
ADCSIR,SIMMB4  ,00000000000.00
ANGUN ,BNYUSD  ,00000184882.63
ANGUN ,SIMMB4  ,00000571671.31
ANGUN ,STDCUR01,00002049273.75
ANGUN ,XMARVAR ,00001431007.31
ARCPEN,SIMMB4  ,00000000002.93
ARCPEN,STANCH01,00000677992.00
ARCPRV,SIMMB4  ,00000001413.03
ARCPRV,STANCH01,00000987260.52
ARGPRV,BNYUSD  ,00000383118.28
ARGPRV,S/CHARNY,00000021972.09
ARGPRV,SIMMB4  ,00000863021.64
ARGPRV,STDCUR01,00000005187.66
ARGPRV,XMARVAR ,00000421912.21
ARGUS ,BNYUSD  ,00000494809.99
ARGUS ,S/CHARNY,00000026565.80
ARGUS ,SIMMB4  ,00000973641.05
ARGUS ,STDCUR01,00003806327.62
ARGUS ,XMARVAR ,00000515261.40
AVBOBC,ABSACAL1,00038500000.00
AVBOBC,BNYUSD  ,00003442904.97
AVBOBC,BONYZAR ,00003153740.49
AVBOBC,CALLNED ,00036100000.00
AVBOBC,SCMBCAL1,00004600000.00
AVBOBC,SIMMB4  ,00000000000.00
AVBOBC,STDCUR01,00032374125.57
AVBOBC,XMARVAR ,00008590818.59
AVBOBP,ABSACAL1,00022000000.00
AVBOBP,BNYUSD  ,00001730679.99
AVBOBP,BONYZAR ,00001247456.92
AVBOBP,CALLNED ,00020481634.49
AVBOBP,SCMBCAL1,00002000000.00
AVBOBP,SIMMB4  ,00000000000.00
AVBOBP,STDCUR01,00016580810.41
AVBOBP,XMARVAR ,00004964627.30
B0005I,BNYUSD  ,00000018748.22
B0005I,SIMMB4  ,00000531054.22
B0005I,STDCUR01,00000178845.96
B0005I,XMARVAR ,00001048264.08
BJMBS ,SIMMB4  ,00000856509.28
BJMBS ,STDCUR01,00000720858.96
CJRFFI,SIMMB4  ,00030383050.13
CJRFFI,STDCUR01,00002217846.36
CLBBC ,SIMMB4  ,00000000000.00
CLBBK ,SIMMB4  ,00000000000.00
CLBBR ,SIMMB4  ,00000000000.00
CLBBT ,SIMMB4  ,00000000000.00
CLBBU ,SIMMB4  ,00000000000.00
COJBND,SIMMB4  ,00000000000.00
COJBND,XXSFTR  ,00000000003.03
DBRBND,SIMMB4  ,00000000000.00
DISTEL,NEDBANK ,00000331363.84
DISTEL,SIMMB4  ,00004881565.59
ENGBND,SIMMB4  ,00000000000.00
ENGEN ,SIMMB4  ,00000000000.00
EXXPEN,SIMMB4  ,00000001447.70
EXXPEN,STANCH01,00000363394.11
EXXPRV,SIMMB4  ,00000001349.02
EXXPRV,STANCH01,00000622115.45
FAWUPR,FNBCUR01,00000169002.56
FAWUPR,SIMMB4  ,00000000414.87
FORLFE,BNYUSD  ,00000295459.84
FORLFE,FNBCUR01,00000271231.85
FORLFE,SIMMB4  ,00000862276.12
FORLFE,XMARVAR ,00001705773.95
G0002I,SIMMB4  ,00000000000.00
G0002I,XXSFTR  ,00000000003.03
G0003I,SIMMB4  ,00000000000.00
GRIPEN,SIMMB4  ,00000000000.00
GRIPRO,SIMMB4  ,00000000000.00
HDBPF ,SIMMB4  ,00000000000.00
IMPEN1,SIMMB4  ,00000454263.05
IMPEN1,STDCUR01,00000374174.35
IMPEN2,ABSACOL ,00000021244.79
IMPEN2,SIMMB4  ,00000000000.00
IMPEN2,STDCUR01,-0090382932.50
IMPPR2,ABSACOL ,00000035407.98
IMPPR2,SIMMB4  ,00000000000.40
IMPPR2,STDCUR01,-0169675958.76
IMPPRO,SIMMB4  ,00000001345.85
IMPPRO,STDCUR01,00000865035.76
ISLBAS,SIMMB4  ,00000000000.00
ISLBAS,XXSFTR  ,00000000003.03
JDGPF ,SIMMB4  ,00000000000.00
JHBPE ,NEDBANK ,00000595543.73
JHBPE ,SIMMB4  ,00000267671.85
JHBPE ,XXSFTR  ,00000000003.03
JMPFB ,SIMMB4  ,00000000000.00
KIOPEN,SIMMB4  ,00000000000.00
KIOPRV,SIMMB4  ,00000000000.00
KOORTR,SIMMB4  ,00000000000.00
KUMPEN,SIMMB4  ,00000000000.00
KUMPRO,SIMMB4  ,00000000000.00
KUPEN ,SIMMB4  ,00000101348.85
KUPEN ,STANCH01,00000476403.21
KUPRV ,SIMMB4  ,00000003368.18
KUPRV ,STANCH01,00000361377.24
LESINC,LSINCCS ,00002471612.70
LESINC,NAMBCURR,00035481979.29
LESINC,SIMMB4  ,00025150160.76
LESINC,STDCUR01,00042673194.49
LESPOD,BNYUSD  ,00000764563.86
LESPOD,FNBCUR01,00001620028.79
LESPOD,SIMMB4  ,00004850597.03
LESPOD,XMARVAR ,00009577765.08
LIBMDS,SIMMB4  ,00000001056.09
LIBMDS,STDCUR01,00009318182.32
LIBPEN,BNYUSD  ,00000828198.66
LIBPEN,SIMMB4  ,00001406038.48
LIBPEN,STDCUR01,00001043063.79
LIBPEN,XMARVAR ,00003376672.33
LLABSK,S/CHARNY,00000133619.24
LLABSK,SIMMB4  ,00003702612.29
LLABSK,XMARVAR ,00002439327.90
LLABSK,XXSFTR  ,-0000007175.00
LLABSR,S/CHARNY,00001903222.79
LLABSR,SIMMB4  ,00120318337.83
LLABSR,XMARVAR ,00058617976.88
LLABSR,XXSFTR  ,-0000107656.00
LLABST,S/CHARNY,00001487067.69
LLABST,SIMMB4  ,00049534530.66
LLABST,XMARVAR ,00033068295.33
