,,,,,,,Detailed Daily MTM - Extract,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade date,19 Jul 17,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement,24 Jul 17,,,,,,,,,,,,,,,,,,,,,,,,,
Bond Code,ISIN Code,Maturity ,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
R204,ZAG000021841,21-Dec-18,8,,,7.405,101.49349,100.7702,0.72329,7.965,7.27,-0.07,1.3531376,1.304826375,-1.32431381,132.43138123,2.3728494,,Rate,18-Jul-17,17-Jul-17,,,,PD Call Down Rates,
R207,ZAG000024738,15-Jan-20,7.25,,,7.510,99.59668,99.41791,0.17877,8.145,7.31,-0.08,2.3060742,2.222614989,-2.21365059,221.36505872,6.2234329,,Rate,18-Jul-17,17-Jul-17,,,,PD Call Down Rates,
E170,ZAG000003690,01-Aug-20,13.5,R207,89,8.400,113.07505,113.37094,-0.29589,8.875,8.125,-0.05,2.6155783,2.510151952,-2.83835544,283.83554434,8.0513598,,Rate,18-Jul-17,01-Jun-17,,,,Official Market Maker,
R208,ZAG000030396,31-Mar-21,6.75,,,7.640,99.29338,97.16667,2.12671,8.305,7.44,-0.08,3.2495040,3.129940323,-3.10782352,310.78235248,12.1615740,,Rate,18-Jul-17,17-Jul-17,,,,PD Call Down Rates,
ES23,ZAG000074212,25-Jan-23,10,R2023,103,9.065,103.95492,103.98232,-0.0274,9.455,8.715,-0.04,4.3888485,4.198549241,-4.36459845,436.45984510,22.1996745,,Rate,18-Jul-17,04-Jul-17,,,,Official Market Maker,
R2023,ZAG000096165,28-Feb-23,7.75,,,8.035,101.79635,98.69635,3.1,8.645,7.825,-0.07,4.5045533,4.330572576,-4.40836489,440.83648894,23.7523848,,Rate,18-Jul-17,17-Jul-17,,,,PD Call Down Rates,
ES26,ZAG000038290,02-Apr-26,7.85,R186,114,9.785,91.24673,88.81646,2.43027,10.11,9.295,-0.01,6.1399986,5.853610739,-5.34122846,534.12284596,45.5457875,,Rate,18-Jul-17,31-May-17,,,,Official Market Maker,
R186,ZAG000016320,21-Dec-26,10.5,,,8.645,112.71153,111.76221,0.94932,9.025,8.305,-0.03,6.3335279,6.071104419,-6.84283430,684.28343032,49.5710467,,Rate,18-Jul-17,17-Jul-17,,,,Benchmark Bond,
R2030,ZAG000106998,31-Jan-30,8,,,9.190,91.10443,91.25785,-0.15342,9.465,8.685,-0.02,7.9213118,7.573317822,-6.89962759,689.96275940,78.8645963,,Rate,18-Jul-17,17-Jul-17,,,,PD Call Down Rates,
