Security     ,Long  Name                                                   ,Cat & Subtype ,Stock Exchange ,Currency Code ,Wghtd Ave Maturity ,Maturity Date ,Coupon Rate   ,Next Interest Date ,Exercise Price ,Macaulay Duration ,Interest Frequency ,Market Price     ,Yield to Maturity ,Shares Issued     ,Comments                       ,Days in Year ,Days in Month ,First Payment Date ,Last Payment Date ,Previous Ex Date ,Modified Duration ,Convexity  ,Accrued Interest  ,Days Ex/Due ,Swap Leg ,A ,Parent   ,Valuation Date                                                                                                                           External code 1 External code 2 Location Stock Exchange Total Value (Pfolio)
AA05        ,AA05 ANGLO AMERICAN SA FINANCE LTD 9.27% 22/03/2019         ,FI00,BMA,ZAR,   ,22/03/19,00009.270000,22/09/17,000000.000,001.490961,02,0000008.600000,008.600000,             ,                              ,2,1,        ,        ,22/03/17,001.429009,000.028627,              ,010, ,Y,        ,08/08/17
AA06        ,ANGLO AMERICAN SA FINANCE 3M JIBAR+147BPS 15/04/2021        ,FI02,BMA,ZAR,   ,15/04/21,00008.812000,15/10/17,000000.000,000.186301,04,0000097.490870,          ,             ,                              ,2,1,        ,        ,15/07/17,000.181885,000.112549,              ,010, ,Y,        ,08/08/17
AA07        ,ANGLO AMERICAN SA FINANCE LTD 9.49% 15/04/2021              ,FI00,BMA,ZAR,   ,15/04/21,00009.490000,15/10/17,000000.000,003.105761,02,0000009.580000,009.580000,             ,                              ,2,1,        ,        ,15/04/17,002.963424,000.112444,              ,010, ,Y,        ,08/08/17
AB011       ,ABSA FRN 3M JIBAR+205BPS 21/11/2018                         ,FI02,BMA,ZAR,   ,21/11/18,00009.392000,21/08/17,000000.000,000.035616,04,0000100.080468,          ,             ,                              ,2,1,        ,        ,22/05/17,000.034807,000.017347,              ,010, ,Y,        ,08/08/17
AB013       ,ABSA BANK LIMITED 8.295% 21/11/2018                         ,FI00,BMA,ZAR,   ,21/11/18,00008.295000,21/11/17,000000.000,001.228034,02,0000009.080000,009.080000,             ,FINAL MD 21/11/2023           ,2,1,        ,        ,21/05/17,001.174283,000.019785,              ,010, ,Y,        ,08/08/17
ABFN07      ,ABSA FRN 3M JB+145 17/03/18                                 ,FI02,BMA,ZAR,   ,17/03/18,00008.767000,17/09/17,000000.000,000.109589,04,0000100.335735,          ,             ,SUBORDINATE UNSECURED         ,2,1,        ,        ,17/06/17,000.107370,000.004858,              ,010, ,Y,        ,08/08/17
ABFN08      ,ABSA BANK LTD FRN 3M JIBAR+175BPS 17/03/2020                ,FI02,BMA,ZAR,   ,17/03/20,00009.067000,18/09/17,000000.000,000.112329,04,0000101.280930,          ,             ,                              ,2,1,        ,        ,19/06/17,000.109995,000.061684,              ,010, ,Y,        ,08/08/17
ABFN12      ,ABSA BANK LTD 3M JIBAR+105BPS 09/04/2019                    ,FI02,BMA,ZAR,   ,09/04/19,00008.392000,09/10/17,000000.000,000.169863,04,0000099.830149,          ,             ,                              ,2,1,        ,        ,10/07/17,000.166339,000.028259,              ,010, ,Y,        ,08/08/17
ABFN17      ,ABSA BANK LIMITED 3M JIBAR+140BPS=8.708% 17052019           ,FI02,BMA,ZAR,   ,17/05/19,00008.742000,17/08/17,000000.000,000.024658,04,0000100.264725,          ,             ,                              ,2,1,        ,        ,17/05/17,000.024136,000.031626,              ,010, ,Y,        ,08/08/17
ABFN21      ,ABSA BANK LIMITED JB3MTH+160BPS 30/05/2022                  ,FI02,BMA,ZAR,   ,30/05/22,00008.933000,30/08/17,000000.000,000.060274,04,0000100.030312,          ,             ,                              ,2,1,        ,        ,30/05/17,000.058948,000.175966,              ,010, ,Y,        ,08/08/17
ABK10       ,AFRICAN BANK LIMITED 3M JIBAR+ 275BPS 14/02/2020            ,FI02,BMA,ZAR,   ,14/02/20,00010.092000,14/08/17,000000.000,000.016438,04,0000097.073487,          ,             ,                              ,2,1,        ,        ,15/05/17,000.015982,000.056647,              ,010, ,Y,        ,08/08/17
ABK11       ,AFRICAN BANK LIMITED 3M JIBAR+ 285BPS 20/05/2019            ,FI02,BMA,ZAR,   ,20/05/19,00010.192000,21/08/17,000000.000,000.035616,04,0000098.496908,          ,             ,                              ,2,1,        ,        ,22/05/17,000.034655,000.030375,              ,010, ,Y,        ,08/08/17
ABK2        ,AFRICAN BANK 9.50% 24/05/2018                               ,FI00,BMA,ZAR,   ,24/05/18,00009.500000,24/11/17,000000.000,000.769055,02,0000010.030000,010.030000,             ,                              ,2,1,        ,        ,24/05/17,000.732041,000.008979,              ,010, ,Y,        ,08/08/17
ABK5        ,AFRICAN BANK 3M JIBAR + 240BPS 31/10/2018                   ,FI02,BMA,ZAR,   ,31/10/18,00009.475000,31/10/17,000000.000,000.230137,04,0000098.189153,          ,             ,LINKED TO TABLE DS            ,2,1,        ,        ,31/07/17,000.223882,000.016133,              ,010, ,Y,        ,08/08/17
