ValuationDate,08/08/17
BONDPY
Pfolio ,BondInstrument                        ,Security ,SectorLevel0         ,Duration ,NominalValue   ,TotalCost         ,Ex? ,CurrentYTM ,MarketValue       ,Cat
ANGUN ,STANLIB HIGH ALPHA THREADNEEDLE CLASS,SHAGEF  ,Equity              ,000.0000,00000001789,00016738923.24, ,       ,00032239710.11,OS03
**TOTAL Equity                                                         ,,,,000.0000,00000001789,00016738923.24, ,       ,00032239710.11,
ANGUN ,STANLIB GLOBAL PROPERTY FUND CLASS B ,STGPFB  ,Real Estate         ,000.0000,00000000036,00001096049.70, ,       ,00001133030.33,OS03
**TOTAL Real Estate                                                    ,,,,000.0000,00000000036,00001096049.70, ,       ,00001133030.33,
ANGUN ,R186 REPUBLIC OF SOUTH AFRICA 10.500%,R186    ,7-12 years NominalGo,000.0000,00000451802,00000486038.52, ,0008.56,00000513761.31,FI00
**TOTAL 7-12 years NominalGo                                           ,,,,000.0000,00000451802,00000486038.52, ,       ,00000513761.31,
ANGUN ,R2044 REPUBLIC OF SOUTH AFRICA 8.750%,R2044   ,Over 12 years Nomina,000.0000,00000185267,00000160976.92, ,0009.86,00000166430.20,FI00
**TOTAL Over 12 years Nomina                                           ,,,,000.0000,00000185267,00000160976.92, ,       ,00000166430.20,
ANGUN ,STANLIB INCOME FUND (CLASS B1)       ,SIB1    ,Fixed Int Unit Trust,000.0000,00008275756,00011287459.63, ,       ,00011312626.81,OS03
ANGUN ,STANLIB GLOBAL BOND SINGLE MANAGER CL,SINGLMAN,Fixed Int Unit Trust,000.0000,00000000073,00001363165.33, ,       ,00001459363.03,OS03
ANGUN ,STANLIB PRUDENTIAL BOND ABIL RETENTIO,SPBAR   ,Fixed Int Unit Trust,000.0000,00000053996,00000056969.15, ,       ,00000067169.05,OS03
ANGUN ,STANLIB PRUDENTIAL BOND FUND B2      ,SPBB2   ,Fixed Int Unit Trust,000.0000,00019064002,00019548735.75, ,       ,00018731087.69,OS03
ANGUN ,STANLIB INCOME ABIL RETENTION FUND   ,STIAR   ,Fixed Int Unit Trust,000.0000,00000495718,00000695640.77, ,       ,00000766405.45,OS03
**TOTAL Fixed Int Unit Trust                                           ,,,,000.0000,00027889545,00032951970.63, ,       ,00032336652.03,
ANGUN ,BNY MELLON USD                       ,BNYUSD  ,Current Account     ,        ,           ,              , ,       ,00000145904.90,ZL01
ANGUN ,STANDARD BANK ZAR - Net Settlements  ,STDCUR01,Current Account     ,        ,           ,              , ,       ,00002051104.93,ZL06
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,00002197009.83,
ANGUN ,SAFEX VARIATION MARG                 ,XMARVAR ,Margin Accounts     ,        ,           ,              , ,       ,00001431007.31,ZL01
**TOTAL Margin Accounts                                                ,,,,        ,           ,              , ,       ,00001431007.31,
ANGUN ,FIDELITY INSTITUTIONAL LIQUIDITY USD ,FIDUSD  ,Money Market Unit Tr,000.0000,00000000014,00001784458.73, ,       ,00001838478.30,OS03
ANGUN ,STANLIB INSTITUTIONAL MONEY MARKET FU,SIMMB4  ,Money Market Unit Tr,000.0000,00000570693,00000570693.18, ,0040.00,00000571671.31,FI02
**TOTAL Money Market Unit Tr                                           ,,,,000.0000,00000570707,00002355151.91, ,       ,00002410149.61,
TOTAL ANGLO UNION                                                      ,,,,        ,00029099146,00053789110.92, ,       ,00072427750.73,
ARCPEN,ESKOM 9.25% 20/04/2018               ,ES18    ,0-1 years NominalGov,000.0000,00000071409,00000077704.96, ,0007.95,00000074016.54,FI00
ARCPEN,R203 REPUBLIC OF SOUTH AFRICA 8.250% ,R203    ,0-1 years NominalGov,000.0000,00000038472,00000040733.22, ,0006.95,00000039779.89,FI00
**TOTAL 0-1 years NominalGov                                           ,,,,000.0000,00000109881,00000118438.18, ,       ,00000113796.43,
ARCPEN,SA NATIONAL ROADS AGENCY LTD 9.75% 31,HWAY20  ,1-3 years NominalGov,000.0000,00000130091,00000133296.24, ,0008.26,00000135422.90,FI00
ARCPEN,R204 REPUBLIC OF SOUTH AFRICA 8.000% ,R204    ,1-3 years NominalGov,000.0000,00000015558,00000015263.31, ,0007.08,00000015906.21,FI00
ARCPEN,R207 REPUBLIC OF SOUTH AFRICA 7.250% ,R207    ,1-3 years NominalGov,000.0000,00000082595,00000083101.18, ,0007.33,00000082850.92,FI00
**TOTAL 1-3 years NominalGov                                           ,,,,000.0000,00000228244,00000231660.73, ,       ,00000234180.03,
ARCPEN,ESKOM 10.00% 25/01/2023              ,ES23    ,3-7 years NominalGov,000.0000,00000110337,00000118216.16, ,0008.93,00000115795.38,FI00
ARCPEN,R2023 REPUBLIC OF SOUTH AFRICA 7.750%,R2023   ,3-7 years NominalGov,000.0000,00000243817,00000231295.93, ,0007.90,00000250494.66,FI00
ARCPEN,R208 REPUBLIC OF SOUTH AFRICA 6.750% ,R208    ,3-7 years NominalGov,000.0000,00000103075,00000092779.12, ,0007.48,00000103189.89,FI00
