Pfolio ,SecurityShortName    ,Security ,SectorLevel4         ,MaturityDate ,Duration ,YieldtoMaturity ,Units             ,UnitCost      ,TotalCost         ,MarketPrice      ,CleanMarketValue  ,All-InMarketValue ,Appreciation      ,AccruedInterest   ,%Sector ,%Pfolio ,ValuationDate ,TYPE
ANGUN ,OMNIA HOLDINGS      ,OMN     ,Equity              ,          ,000.00,      ,00000002597.00,00000175.61,00000456064.45,0000137.930000,00000358204.21,00000358204.21,-0000097860.24,              ,000.35,000.25,08/08/2017,OS00
ANGUN ,SASOL               ,SOL     ,Equity              ,          ,000.00,      ,00000010070.00,00000429.17,00004321714.98,0000408.200000,00004110574.00,00004110574.00,-0000211140.98,              ,004.07,002.90,08/08/2017,OS00
ANGUN ,MONDI PLC           ,MNP     ,Equity              ,          ,000.00,      ,00000001147.00,00000302.00,00000346395.49,0000344.600000,00000395256.20,00000395256.20,00000048860.71,              ,000.39,000.28,08/08/2017,OS00
ANGUN ,SAPPI               ,SAP     ,Equity              ,          ,000.00,      ,00000036707.00,00000082.81,00003039806.82,0000087.030000,00003194610.21,00003194610.21,00000154803.39,              ,003.17,002.25,08/08/2017,OS00
ANGUN ,KUMBA IRON ORE      ,KIO     ,Equity              ,          ,000.00,      ,00000004803.00,00000150.33,00000722046.18,0000201.160000,00000966171.48,00000966171.48,00000244125.30,              ,000.96,000.68,08/08/2017,OS00
ANGUN ,ANGLO AMERICAN PLC  ,AGL     ,Equity              ,          ,000.00,      ,00000018134.00,00000203.06,00003682299.54,0000217.890000,00003951217.26,00003951217.26,00000268917.72,              ,003.92,002.78,08/08/2017,OS00
ANGUN ,AFRICAN RAINBOW MIN ,ARI     ,Equity              ,          ,000.00,      ,00000010515.00,00000088.85,00000934206.07,0000095.670000,00001005970.05,00001005970.05,00000071763.98,              ,001.00,000.71,08/08/2017,OS00
ANGUN ,ANGGOLD             ,ANG     ,Equity              ,          ,000.00,      ,00000002788.00,00000230.48,00000642574.30,0000121.790000,00000339550.52,00000339550.52,-0000303023.78,              ,000.34,000.24,08/08/2017,OS00
ANGUN ,AMPLATS             ,AMS     ,Equity              ,          ,000.00,      ,00000001740.00,00000349.22,00000607649.19,0000330.620000,00000575278.80,00000575278.80,-0000032370.39,              ,000.57,000.41,08/08/2017,OS00
ANGUN ,GLENCORE XSTRATA PLC,GLN     ,Equity              ,          ,000.00,      ,00000012869.00,00000052.21,00000671845.32,0000059.330000,00000763517.77,00000763517.77,00000091672.45,              ,000.76,000.54,08/08/2017,OS00
ANGUN ,IMPLATS             ,IMP     ,Equity              ,          ,000.00,      ,00000005544.00,00000052.85,00000293005.84,0000038.040000,00000210893.76,00000210893.76,-0000082112.08,              ,000.21,000.15,08/08/2017,OS00
ANGUN ,MPACT LIMITED       ,MPT     ,Equity              ,          ,000.00,      ,00000003711.00,00000035.57,00000132009.27,0000027.500000,00000102052.50,00000102052.50,-0000029956.77,              ,000.10,000.07,08/08/2017,OS00
ANGUN ,GRINDROD            ,GND     ,Equity              ,          ,000.00,      ,00000008163.00,00000018.19,00000148459.61,0000011.700000,00000095507.10,00000095507.10,-0000052952.51,              ,000.09,000.07,08/08/2017,OS00
ANGUN ,IMPERIAL            ,IPL     ,Equity              ,          ,000.00,      ,00000004146.00,00000166.79,00000691509.47,0000190.000000,00000787740.00,00000787740.00,00000096230.53,              ,000.78,000.56,08/08/2017,OS00
ANGUN ,NEWBELCO SA NV      ,ANH     ,Equity              ,          ,000.00,      ,00000000868.00,00001812.00,00001572816.77,0001555.500000,00001350174.00,00001350174.00,-0000222642.77,              ,001.34,000.95,08/08/2017,OS00
ANGUN ,AVI LIMITED         ,AVI     ,Equity              ,          ,000.00,      ,00000011385.00,00000034.91,00000397414.31,0000100.370000,00001142712.45,00001142712.45,00000745298.14,              ,001.13,000.81,08/08/2017,OS00
ANGUN ,TONGAAT HULETT      ,TON     ,Equity              ,          ,000.00,      ,00000006562.00,00000131.52,00000863028.31,0000119.070000,00000781337.34,00000781337.34,-0000081690.97,              ,000.77,000.55,08/08/2017,OS00
ANGUN ,STEINHOFF N.V.      ,SNH     ,Equity              ,          ,000.00,      ,00000080484.00,00000062.25,00005010478.37,0000069.300000,00005577541.20,00005577541.20,00000567062.83,              ,005.53,003.93,08/08/2017,OS00
ANGUN ,BRITISH AMERICAN TOB,BTI     ,Equity              ,          ,000.00,      ,00000007581.00,00000563.90,00004274944.49,0000858.240000,00006506317.44,00006506317.44,00002231372.95,              ,006.45,004.59,08/08/2017,OS00
ANGUN ,MEDICLINIC INTERNAT ,MEI     ,Equity              ,          ,000.00,      ,00000012134.00,00000140.32,00001702637.75,0000124.320000,00001508498.88,00001508498.88,-0000194138.87,              ,001.49,001.06,08/08/2017,OS00
ANGUN ,ASPEN               ,APN     ,Equity              ,          ,000.00,      ,00000012022.00,00000222.47,00002674487.18,0000282.980000,00003401985.56,00003401985.56,00000727498.38,              ,003.37,002.40,08/08/2017,OS00
ANGUN ,DIS-CHEM            ,DCP     ,Equity              ,          ,000.00,      ,00000013181.00,00000018.50,00000243848.50,0000029.580000,00000389893.98,00000389893.98,00000146045.48,              ,000.39,000.27,08/08/2017,OS00
ANGUN ,CHOPPIES ENTERPRISES,CHP     ,Equity              ,          ,000.00,      ,00000185835.00,00000005.17,00000960880.74,0000002.850000,00000529629.75,00000529629.75,-0000431250.99,              ,000.52,000.37,08/08/2017,OS00
